Team,Goals,Assists,PK converted,PK attempted,Shots,Shots on Target,YCrds,Rcards,Touches,Tackles,Interceptions,BlockedShots,XG,npXG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,AttTakes,ScsflTakes,Results
Barcelona,0,0,0,0,6,3,2,0,921,10,4,11,1.1,1.1,0.9,10,0,751,830,90.5,40,481,12,18,7,D
,3,1,0,0,13,6,1,0,913,16,6,12,1.4,1.4,1.1,23,3,750,826,90.8,42,487,19,22,14,W
Manchester United,0,0,0,0,10,0,3,0,535,15,9,12,0.5,0.5,0.1,14,0,349,435,80.2,30,287,15,16,9,D
,0,0,0,0,9,3,0,0,536,17,9,14,0.4,0.4,0.3,16,0,369,436,84.6,35,283,11,8,4,L
Porto,0,0,0,0,8,3,2,0,524,29,17,15,0.9,0.9,0.5,14,0,254,387,65.6,28,241,13,21,10,L
,1,1,0,0,19,8,1,0,597,14,11,3,1.0,1.0,0.7,31,2,363,491,73.9,40,350,20,21,12,L
Liverpool,2,1,0,0,15,3,0,0,822,23,10,7,2.3,2.3,1.7,25,4,561,687,81.7,63,464,21,27,15,W
,4,4,0,0,13,5,1,0,586,23,10,10,3.6,3.6,3.6,25,7,348,468,74.4,33,353,15,17,12,W
Manchester City,0,0,0,1,9,1,3,0,706,12,10,10,1.4,0.6,0.5,16,0,499,591,84.4,35,488,22,14,9,L
,4,4,0,0,20,8,0,0,748,21,8,7,2.5,2.5,1.9,37,8,551,639,86.2,85,479,29,20,13,W
Tottenham Hotspur,1,0,0,0,13,4,1,0,527,22,8,8,0.9,0.9,0.6,21,2,319,421,75.8,30,285,8,16,9,W
,3,2,0,0,11,7,4,0,448,17,9,10,0.7,0.7,0.6,19,5,255,341,74.8,24,255,12,14,9,L
Juventus,1,1,0,0,7,1,1,0,521,17,17,10,0.7,0.7,0.7,13,2,311,417,74.6,29,240,12,18,14,D
,1,1,0,0,13,3,2,0,579,18,20,15,0.9,0.9,0.8,23,2,344,464,74.1,36,254,23,22,16,L
Ajax,1,0,0,0,19,6,4,0,744,19,14,7,1.2,1.2,1.1,38,2,540,646,83.6,46,471,23,14,12,D
,2,2,0,0,14,4,0,0,579,21,9,14,2.3,2.3,1.6,23,3,324,448,72.3,36,251,16,20,6,W
